Country name,iso3,model_count,top_organizations,period,popup_info,method_note
Christmas Islands,,0,Sin registros,2018-2025,Christmas Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Clipperton Island,,0,Sin registros,2018-2025,Clipperton Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cocos Islands,,0,Sin registros,2018-2025,Cocos Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Colombia,,0,Sin registros,2018-2025,Colombia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Comoros,,0,Sin registros,2018-2025,Comoros<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cook Islands,,0,Sin registros,2018-2025,Cook Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Costa Rica,,0,Sin registros,2018-2025,Costa Rica<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Croatia,,0,Sin registros,2018-2025,Croatia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cuba,,0,Sin registros,2018-2025,Cuba<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Curaçao,,0,Sin registros,2018-2025,Curaçao<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cyprus,,0,Sin registros,2018-2025,Cyprus<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Czech Republic,,0,Sin registros,2018-2025,Czech Republic<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Demchok,,0,Sin registros,2018-2025,Demchok<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Democratic Republic of the Congo,,0,Sin registros,2018-2025,Democratic Republic of the Congo<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Denmark,,0,Sin registros,2018-2025,Denmark<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Djibouti,,0,Sin registros,2018-2025,Djibouti<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Dominica,,0,Sin registros,2018-2025,Dominica<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Dominican Republic,,0,Sin registros,2018-2025,Dominican Republic<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
East Timor,,0,Sin registros,2018-2025,East Timor<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Ecuador,,0,Sin registros,2018-2025,Ecuador<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Egypt,,0,Sin registros,2018-2025,Egypt<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
El Salvador,,0,Sin registros,2018-2025,El Salvador<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Equatorial Guinea,,0,Sin registros,2018-2025,Equatorial Guinea<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Eritrea,,0,Sin registros,2018-2025,Eritrea<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Estonia,,0,Sin registros,2018-2025,Estonia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Eswatini,,0,Sin registros,2018-2025,Eswatini<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Ethiopia,,0,Sin registros,2018-2025,Ethiopia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Falkland Islands,,0,Sin registros,2018-2025,Falkland Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Faroe Islands,,0,Sin registros,2018-2025,Faroe Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Federated States of Micronesia,,0,Sin registros,2018-2025,Federated States of Micronesia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Fiji,,0,Sin registros,2018-2025,Fiji<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Finland,FIN,1,University of Turku; Hugging Face,2018-2025,"País: Finland
Modelos LLM notables: 1
Organizaciones principales: University of Turku; Hugging Face
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
France,FRA,23,Meta; Mistral AI; INRIA; UC Berkeley; University of Washington,2018-2025,"País: France
Modelos LLM notables: 23
Organizaciones principales: Meta; Mistral AI; INRIA; UC Berkeley; University of Washington
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
French Polynesia,,0,Sin registros,2018-2025,French Polynesia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
French Southern and Antarctic Lands,,0,Sin registros,2018-2025,French Southern and Antarctic Lands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Gabon,,0,Sin registros,2018-2025,Gabon<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Georgia,,0,Sin registros,2018-2025,Georgia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Germany,DEU,5,CMU; DeepL; Hugging Face; ServiceNow; Northeastern University,2018-2025,"País: Germany
Modelos LLM notables: 5
Organizaciones principales: CMU; DeepL; Hugging Face; ServiceNow; Northeastern University
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Ghana,,0,Sin registros,2018-2025,Ghana<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Gibraltar,,0,Sin registros,2018-2025,Gibraltar<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Greece,,0,Sin registros,2018-2025,Greece<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Greenland,,0,Sin registros,2018-2025,Greenland<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Grenada,,0,Sin registros,2018-2025,Grenada<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guam,,0,Sin registros,2018-2025,Guam<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guantanamo Bay Naval Base,,0,Sin registros,2018-2025,Guantanamo Bay Naval Base<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guatemala,,0,Sin registros,2018-2025,Guatemala<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guernsey,,0,Sin registros,2018-2025,Guernsey<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guinea,,0,Sin registros,2018-2025,Guinea<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guinea-Bissau,,0,Sin registros,2018-2025,Guinea-Bissau<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Guyana,,0,Sin registros,2018-2025,Guyana<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Haiti,,0,Sin registros,2018-2025,Haiti<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Heard Island and McDonald Islands,,0,Sin registros,2018-2025,Heard Island and McDonald Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Honduras,,0,Sin registros,2018-2025,Honduras<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Hong Kong,HKG,7,Chinese University of Hong Kong (CUHK); Tsinghua University; Nanyang Technological University; Hong Kong University of Science and Technology (HKUST); SenseTime,2018-2025,"País: Hong Kong
Modelos LLM notables: 7
Organizaciones principales: Chinese University of Hong Kong (CUHK); Tsinghua University; Nanyang Technological University; Hong Kong University of Science and Technology (HKUST); SenseTime
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Howland Island,,0,Sin registros,2018-2025,Howland Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Hungary,,0,Sin registros,2018-2025,Hungary<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Iceland,,0,Sin registros,2018-2025,Iceland<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
India,IND,2,Hugging Face; ServiceNow; Northeastern University; Mila; CMU,2018-2025,"País: India
Modelos LLM notables: 2
Organizaciones principales: Hugging Face; ServiceNow; Northeastern University; Mila; CMU
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Indonesia,,0,Sin registros,2018-2025,Indonesia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Iran,,0,Sin registros,2018-2025,Iran<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Iraq,,0,Sin registros,2018-2025,Iraq<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Ireland,,0,Sin registros,2018-2025,Ireland<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Isle of Man,,0,Sin registros,2018-2025,Isle of Man<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Israel,ISR,5,AI2; MIT; Hugging Face; ServiceNow; Northeastern University,2018-2025,"País: Israel
Modelos LLM notables: 5
Organizaciones principales: AI2; MIT; Hugging Face; ServiceNow; Northeastern University
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Italy,,0,Sin registros,2018-2025,Italy<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Ivory Coast,,0,Sin registros,2018-2025,Ivory Coast<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Jamaica,,0,Sin registros,2018-2025,Jamaica<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Japan,JPN,3,rinna; University of Washington; National Institute of Informatics; NTT Communication Science Laboratories; Tohoku University,2018-2025,"País: Japan
Modelos LLM notables: 3
Organizaciones principales: rinna; University of Washington; National Institute of Informatics; NTT Communication Science Laboratories; Tohoku University
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Jarvis Island,,0,Sin registros,2018-2025,Jarvis Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Jersey,,0,Sin registros,2018-2025,Jersey<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Johnston Atoll,,0,Sin registros,2018-2025,Johnston Atoll<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Jordan,,0,Sin registros,2018-2025,Jordan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kazakhstan,,0,Sin registros,2018-2025,Kazakhstan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kenya,,0,Sin registros,2018-2025,Kenya<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kingman Reef,,0,Sin registros,2018-2025,Kingman Reef<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kiribati,,0,Sin registros,2018-2025,Kiribati<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kosovo,,0,Sin registros,2018-2025,Kosovo<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kuwait,,0,Sin registros,2018-2025,Kuwait<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Kyrgyzstan,,0,Sin registros,2018-2025,Kyrgyzstan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Laos,,0,Sin registros,2018-2025,Laos<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Latvia,,0,Sin registros,2018-2025,Latvia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Lebanon,,0,Sin registros,2018-2025,Lebanon<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Lesotho,,0,Sin registros,2018-2025,Lesotho<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Liberia,,0,Sin registros,2018-2025,Liberia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Libya,,0,Sin registros,2018-2025,Libya<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Liechtenstein,,0,Sin registros,2018-2025,Liechtenstein<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Lithuania,,0,Sin registros,2018-2025,Lithuania<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Luxembourg,,0,Sin registros,2018-2025,Luxembourg<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Macau,,0,Sin registros,2018-2025,Macau<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Madagascar,,0,Sin registros,2018-2025,Madagascar<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Malawi,,0,Sin registros,2018-2025,Malawi<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Malaysia,,0,Sin registros,2018-2025,Malaysia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Maldives,,0,Sin registros,2018-2025,Maldives<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mali,,0,Sin registros,2018-2025,Mali<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Malta,,0,Sin registros,2018-2025,Malta<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Marshall Islands,,0,Sin registros,2018-2025,Marshall Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mauritania,,0,Sin registros,2018-2025,Mauritania<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mauritius,,0,Sin registros,2018-2025,Mauritius<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mexico,,0,Sin registros,2018-2025,Mexico<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Midway Island,,0,Sin registros,2018-2025,Midway Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Moldova,,0,Sin registros,2018-2025,Moldova<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Monaco,,0,Sin registros,2018-2025,Monaco<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mongolia,,0,Sin registros,2018-2025,Mongolia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Montenegro,,0,Sin registros,2018-2025,Montenegro<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Montserrat,,0,Sin registros,2018-2025,Montserrat<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Morocco,,0,Sin registros,2018-2025,Morocco<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Mozambique,,0,Sin registros,2018-2025,Mozambique<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Myanmar,,0,Sin registros,2018-2025,Myanmar<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Namibia,,0,Sin registros,2018-2025,Namibia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
