Model,Organization,Country (of organization),Publication date,Year,Domain,Training compute (FLOP),log10_training_compute,Parameters,Training compute cost (2023 USD),Open model weights?,Open_Status,Model accessibility,Frontier model
Mesh-TensorFlow Transformer 2.9B (translation),Google Brain,United States of America,2018-11-05,2018,Language,6.84288e+19,19.83523892406839,2900000000.0,$395.72,No,Cerrado,Unreleased,
Mesh-TensorFlow Transformer 4.9B (language),Google Brain,United States of America,2018-11-05,2018,Language,1.617408e+20,20.20881958688098,4900000000.0,$935.33,No,Cerrado,Unreleased,
BERT-Large,Google,United States of America,2018-10-11,2018,Language,2.85e+20,20.45484486000851,340000000.0,$1751.48,Yes,Abierto,Open weights (unrestricted),
Big Transformer for Back-Translation,"Facebook AI Research,Google Brain","United States of America,France,United States of America",2018-08-28,2018,Language,4.7808e+20,20.679500575799285,,$2442.16,Yes,Abierto,Open weights (unrestricted),
MMLSTM (PTB),"Beijing University of Posts and Telecommunications,University of West London","China,United Kingdom of Great Britain and Northern Ireland",2019-12-05,2019,Language,5.8298782e+16,16.765659481410736,21300000.0,,No,Cerrado,Unreleased,
MMLSTM (WT-2),"Beijing University of Posts and Telecommunications,University of West London","China,United Kingdom of Great Britain and Northern Ireland",2019-12-05,2019,Language,1.938e+17,17.287353772714745,32300000.0,,No,Cerrado,Unreleased,
AWD-LSTM + MoS + Partial Shuffled,University of Texas at Austin,United States of America,2019-06-10,2019,Language,3.15e+17,17.4983105537896,35000000.0,,Yes,Abierto,Open weights (non-commercial),
AWD-LSTM-DRILL + dynamic evaluation† (WT2),IDIAP,Switzerland,2019-05-14,2019,Language,4.08e+17,17.61066016308988,34000000.0,,Yes,Abierto,Open weights (unrestricted),
WeNet (Penn Treebank),Amazon,United States of America,2019-04-08,2019,Language,7.30000001e+17,17.86332286071538,23000000.0,,No,Cerrado,Unreleased,
Transformer-XL DeFINE (141M),"University of Washington,Allen Institute for AI","United States of America,United States of America",2019-11-27,2019,Language,1.74276e+18,18.24123758340818,141000000.0,,No,Cerrado,Unreleased,
Cross-lingual alignment,"Tel Aviv University,Massachusetts Institute of Technology (MIT)","Israel,United States of America",2019-04-04,2019,Language,2.56e+18,18.40823996531185,,,Yes,Abierto,Open weights (unrestricted),
DistilBERT,Hugging Face,United States of America,2019-10-02,2019,Language,1.24416e+19,19.094876234574144,66000000.0,,Yes,Abierto,Open weights (unrestricted),
Sandwich Transformer,"Allen Institute for AI,Facebook AI Research","United States of America,United States of America,France",2019-11-10,2019,Language,2.3504093e+19,19.371143496847598,209000000.0,,No,Cerrado,Unreleased,
Base LM + kNN LM + Continuous Cache,"Stanford University,Facebook AI Research","United States of America,United States of America,France",2019-11-01,2019,Language,3.0529200000000004e+19,19.484715424012464,247000000.0,,No,Cerrado,Unreleased,
SciBERT,Allen Institute for AI,United States of America,2019-03-26,2019,Language,8.926848e+19,19.950698139980172,110000000.0,$247.26,Yes,Abierto,Open weights (unrestricted),
BERT-Large-CAS (PTB+WT2+WT103),Amazon,United States of America,2019-04-20,2019,Language,1.5405e+20,20.18766170265296,395000000.0,,No,Cerrado,Unreleased,
Transformer-XL (257M),"Carnegie Mellon University (CMU),Google Brain","United States of America,United States of America",2019-01-09,2019,Language,3.7832771e+20,20.577868151653217,257000000.0,,Yes,Abierto,Open weights (unrestricted),
Transformer-XL Large + Phrase Induction,"Massachusetts Institute of Technology (MIT),University of Illinois Urbana-Champaign (UIUC)","United States of America,United States of America",2019-06-04,2019,Language,3.7848651e+20,20.57805040500659,257000000.0,,No,Cerrado,Unreleased,
CamemBERT,"Facebook,INRIA,Sorbonne University","United States of America,France,France",2019-11-10,2019,Language,8.3e+20,20.919078092376076,335000000.0,$2319.54,Yes,Abierto,Open weights (unrestricted),
GPT-2 (1.5B),OpenAI,United States of America,2019-02-14,2019,Language,1.920000000001e+21,21.283301228703777,1500000000.0,$4348.44,Yes,Abierto,Open weights (unrestricted),
XLNet,"Carnegie Mellon University (CMU),Google Brain","United States of America,United States of America",2019-06-01,2019,Language,6.19e+21,21.79169064902012,340000000.0,$13644.96,Yes,Abierto,Open weights (unrestricted),checked
RoBERTa Large,"Facebook,University of Washington","United States of America,United States of America",2019-07-01,2019,Language,8.5067e+21,21.929761117107013,355000000.0,$85350.24,Yes,Abierto,Open weights (unrestricted),checked
T5-3B,Google,United States of America,2019-10-23,2019,Language,9.0000000001e+21,21.95424250944415,2800000000.0,$17420.71,Yes,Abierto,Open weights (unrestricted),checked
Megatron-LM (8.3B),NVIDIA,United States of America,2019-09-17,2019,Language,9.1e+21,21.959041392321094,8300000000.0,$109287.56,No,Cerrado,Unreleased,checked
Megatron-LM (1.2B),NVIDIA,United States of America,2019-09-17,2019,Language,1.13e+22,22.053078443483418,1200000000.0,,No,Cerrado,Unreleased,
XLM-RoBERTa,Facebook AI,United States of America,2019-11-05,2019,Language,2.076e+22,22.31722734917642,550000000.0,$77861.32,Yes,Abierto,Open weights (non-commercial),checked
Megatron-BERT,NVIDIA,United States of America,2019-09-17,2019,Language,2.2e+22,22.342422680822207,3900000000.0,$171818.64,No,Cerrado,Unreleased,checked
T5-11B,Google,United States of America,2019-10-23,2019,Language,3.3e+22,22.518513939877888,11000000000.0,$78464.68,Yes,Abierto,Open weights (unrestricted),checked
CT-MoS (WT2),"Google,National Tsing Hua University","United States of America,Taiwan",2020-12-25,2020,Language,5.4e+17,17.73239375982297,45000000.0,,No,Cerrado,Unreleased,
Tensor-Transformer(1core)+PN (WT103),University of California (UC) Berkeley,United States of America,2020-03-17,2020,Language,1.58e+18,18.198657086954423,85300000.0,,Yes,Abierto,Open weights (unrestricted),
DensePhrases,"Korea University,Princeton University","Korea (Republic of),United States of America",2020-12-23,2020,Language,2.09952e+18,18.322120016077207,,,Yes,Abierto,Open weights (unrestricted),
DeLighT,"University of Washington,Allen Institute for AI,Facebook AI Research","United States of America,United States of America,United States of America,France",2020-08-03,2020,Language,3.8016e+18,18.579966418965082,99000000.0,,No,Cerrado,Unreleased,
Feedback Transformer,"LORIA,University of Lorraine,Facebook AI Research","France,France,United States of America,France",2020-02-21,2020,Language,7.690547e+18,18.885957230650984,126000000.0,,No,Cerrado,Unreleased,
UnifiedQA,"Allen Institute for AI,University of Washington","United States of America,United States of America",2020-05-02,2020,Language,1.65e+19,19.217483944213907,11000000000.0,$59.12,Yes,Abierto,Open weights (unrestricted),
TransformerXL + spectrum control,"University of California Los Angeles (UCLA),JD.com","United States of America,China",2020-03-11,2020,Language,2.6289761e+19,19.41978663795676,151000000.0,,No,Cerrado,Unreleased,
TaLK Convolution,Carleton University,Canada,2020-02-08,2020,Language,2.6990346e+19,19.431208451986215,240000000.0,,No,Cerrado,Unreleased,
ERNIE-Doc (247M),Baidu,China,2020-12-31,2020,Language,3.0302798e+19,19.48148273080785,247000000.0,,Yes,Abierto,Open weights (unrestricted),
FFN SwiGLU,Google,United States of America,2020-02-14,2020,Language,3.3687317e+19,19.52746642331431,220000000.0,,No,Cerrado,Unreleased,
ERNIE-GEN (large),Baidu,China,2020-08-06,2020,Language,2e+20,20.30102999566398,340000000.0,,Yes,Abierto,Open weights (non-commercial),
CPM-Large,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI","China,China",2020-12-01,2020,Language,2.6052e+20,20.415841069502044,2600000000.0,$7340.10,Yes,Abierto,Open weights (unrestricted),
German ELECTRA Large,"deepset,Bayerische Staatsbibliothek Muenchen","Germany,Germany",2020-10-21,2020,Language,1.42829568e+21,21.154818122636097,335000000.0,$2392.29,Yes,Abierto,Open weights (unrestricted),
KEPLER,"Tsinghua University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),HEC,CIFAR AI Research,Princeton University,University of Montreal / Université de Montréal","China,Canada,France,Canada,United States of America,Canada",2020-11-23,2020,Language,1.66e+21,21.220108088040057,125000000.0,,No,Cerrado,Unreleased,
ALBERT-xxlarge,"Toyota Technological Institute at Chicago,Google","United States of America,United States of America",2020-02-09,2020,Language,2.39e+21,21.378397900948137,235000000.0,$4439.92,Yes,Abierto,Open weights (unrestricted),
ELECTRA,"Stanford University,Google,Google Brain","United States of America,United States of America,United States of America",2020-03-23,2020,Language,3.0999999999999995e+21,21.49136169383427,335000000.0,,Yes,Abierto,Open weights (unrestricted),
Turing-NLG,Microsoft,United States of America,2020-02-13,2020,Language,1.57e+22,22.195899652409235,17000000000.0,$51659.71,No,Cerrado,Unreleased,
LUKE,"University of Washington,National Institute of Informatics","United States of America,Japan",2020-10-02,2020,Language,1.8144e+22,22.258733037212814,483000000.0,$4186.38,Yes,Abierto,Open weights (unrestricted),
GShard (dense),Google,United States of America,2020-06-30,2020,Language,4.765e+22,22.678062904974347,2300000000.0,$266200.03,No,Cerrado,Unreleased,checked
mT5-XXL,"Google,Google Research","United States of America,United States of America",2020-10-20,2020,Language,8.2e+22,22.913813852383715,13000000000.0,$179442.03,Yes,Abierto,Open weights (unrestricted),checked
Meena,Google Brain,United States of America,2020-01-28,2020,Language,1.12e+23,23.049218022670182,2600000000.0,$214809.91,No,Cerrado,Unreleased,checked
GPT-3 175B (davinci),OpenAI,United States of America,2020-05-28,2020,Language,3.14e+23,23.496929648073216,174600000000.0,$2116866.24,No,Cerrado,API access,checked
PermuteFormer,Peking University,China,2021-09-06,2021,Language,2.775e+18,18.443262987458695,149697024.0,,No,Cerrado,Unreleased,
SRU++ Large,ASAPP,United States of America,2021-02-24,2021,Language,2.1173704e+19,19.325796837521114,234000000.0,,Yes,Abierto,Open weights (unrestricted),
base LM+GNN+kNN,"Shannon.AI,Nanjing University,Nanyang Technological University,Zhejiang University (ZJU)","China,China,Singapore,China",2021-10-17,2021,Language,5.2587456e+19,19.720882161650387,274000000.0,,Yes,Abierto,Open weights (unrestricted),
S4,Stanford University,United States of America,2021-10-31,2021,Language,7.8328627e+19,19.89392051398612,249000000.0,,Yes,Abierto,Open weights (unrestricted),
Adaptive Input Transformer + RD,"Microsoft Research Asia,Soochow University","China,Taiwan",2021-06-28,2021,Language,8.58e+19,19.933487287848706,247000000.0,,No,Cerrado,Unreleased,
Contriever,"Meta AI,University College London (UCL),PSL University,Université Grenoble Alpes","United States of America,United Kingdom of Great Britain and Northern Ireland,France,France",2021-12-16,2021,Language,1.57e+20,20.195899652409235,110000000.0,,Yes,Abierto,Open weights (non-commercial),
Zidong Taichu,"Chinese Academy of Sciences,Wuhan AI Computing Center","China,China",2021-08-11,2021,"Multimodal,Speech,Vision,Language",8.015999999999999e+20,20.90395770852317,3200000000.0,,Yes,Abierto,Open weights (unrestricted),
CodeT5-base,"Salesforce,Nanyang Technological University","United States of America,Singapore",2021-11-01,2021,Language,1.56e+21,21.193124598354462,220000000.0,$3114.87,Yes,Abierto,Open weights (unrestricted),
EMDR,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind","Canada,Canada,United Kingdom of Great Britain and Northern Ireland",2021-06-09,2021,Language,1.91e+21,21.281033367247726,440000000.0,$2773.31,Yes,Abierto,Open weights (unrestricted),
M6-T,Alibaba,China,2021-03-05,2021,"Multimodal,Language,Vision",5.5e+21,21.740362689494244,1002700000000.0,$13156.86,No,Cerrado,Unreleased,
NÜWA,"Microsoft Research,Peking University","United States of America,China",2021-11-24,2021,"Multimodal,Vision,Image generation,Video,Language",7.24598784e+21,21.860097600879122,870000000.0,,No,Cerrado,Unreleased,
PLATO-XL,Baidu,China,2021-09-20,2021,Language,9.9e+21,21.99563519459755,11000000000.0,,Yes,Abierto,Open weights (unrestricted),
CLIP (ViT L/14@336px),OpenAI,United States of America,2021-01-05,2021,"Multimodal,Vision,Language,Video",1.05e+22,22.02118929906994,370000000.0,$24638.52,Yes,Abierto,Open weights (unrestricted),
Generative BST,Facebook AI Research,"United States of America,France",2021-03-05,2021,Language,1.449e+22,22.161068385471175,9431810048.0,,Yes,Abierto,Open weights (unrestricted),
ERNIE 3.0,Baidu,China,2021-07-05,2021,Language,2.25e+22,22.352182518111363,10000000000.0,$39104.27,Yes,Abierto,Open weights (unrestricted),
XGLM-7.5B,"Meta AI,Facebook AI Research","United States of America,United States of America,France",2021-12-20,2021,Language,2.25e+22,22.352182518111363,7500000000.0,$104152.23,Yes,Abierto,Open weights (non-commercial),
DeBERTa,Microsoft,United States of America,2021-06-10,2021,Language,2.588e+22,22.412964271996664,1500000000.0,$6682.23,Yes,Abierto,Open weights (unrestricted),
ALIGN,Google Research,United States of America,2021-06-11,2021,"Multimodal,Vision,Language",2.5986700000009994e+22,22.414751132799207,820000000.0,$32852.92,No,Cerrado,Unreleased,
Turing ULRv5,Microsoft,United States of America,2021-09-28,2021,Language,2.8983951e+22,22.462157586812857,2200000000.0,,No,Cerrado,Hosted access (no API),
XLMR-XXL,Facebook AI Research,"United States of America,France",2021-08-17,2021,Language,3.3660000000000005e+22,22.527114111639804,10700000000.0,,Yes,Abierto,Open weights (unrestricted),
PLUG,Alibaba,China,2021-04-19,2021,Language,3.5997696e+22,22.556274705030972,27000000000.0,$108672.69,No,Cerrado,Hosted access (no API),
Codex,OpenAI,United States of America,2021-07-07,2021,Language,7.344e+22,22.865932668193185,12000000000.0,,No,Cerrado,API access,
ByT5-XXL,"Google,Google Research","United States of America,United States of America",2021-05-28,2021,Language,8.1e+22,22.90848501887865,12900000000.0,$92453.38,Yes,Abierto,Open weights (unrestricted),
Switch,Google,United States of America,2021-01-11,2021,Language,8.22e+22,22.91487181754005,1571000000000.0,$145100.90,Yes,Abierto,Open weights (unrestricted),checked
HyperCLOVA 204B,NAVER,Korea (Republic of),2021-09-10,2021,Language,2.0000000001e+23,23.301029995685695,204000000000.0,$441770.00,No,Cerrado,Hosted access (no API),checked
Yuan 1.0,Inspur,China,2021-10-12,2021,Language,3.5380000000001e+23,23.548757828573716,245730000000.0,$591664.58,No,Cerrado,API access,checked
GLaM,Google,United States of America,2021-12-13,2021,Language,3.6363112434e+23,23.560661048781533,1200000000000.0,$541437.42,No,Cerrado,Unreleased,
Jurassic-1-Jumbo,AI21 Labs,Israel,2021-08-11,2021,Language,3.7e+23,23.568201724066995,178000000000.0,$836700.05,No,Cerrado,API access,checked
Gopher (280B),DeepMind,United Kingdom of Great Britain and Northern Ireland,2021-12-08,2021,Language,6.31e+23,23.800029359244135,280000000000.0,$640616.85,No,Cerrado,Unreleased,checked
Megatron-Turing NLG 530B,"Microsoft,NVIDIA","United States of America,United States of America",2021-10-11,2021,Language,8.586e+23,23.93379088414342,530000000000.0,$3848505.63,No,Cerrado,Unreleased,checked
ERNIE 3.0 Titan,"Baidu,Peng Cheng Laboratory","China,China",2021-12-23,2021,Language,1.0421e+24,24.017909395896687,260000000000.0,,No,Cerrado,Hosted access (no API),checked
FLAN 137B,Google Research,United States of America,2021-09-03,2021,Language,2.047e+24,24.311117842662505,137000000000.0,,No,Cerrado,Unreleased,checked
Mogrifier RLSTM (WT2),DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-11-03,2022,Language,1.4e+17,17.146128035678238,35000000.0,,No,Cerrado,Unreleased,
DITTO,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)","China,United States of America,China,Hong Kong",2022-06-06,2022,Language,3.31776e+18,18.520844966846425,750000000.0,,No,Cerrado,Unreleased,
"Segatron-XL large, M=384 + HCP","Microsoft Research,University of Waterloo","United States of America,Canada",2022-03-21,2022,Language,2.65e+19,19.423245873936807,257000000.0,,No,Cerrado,Unreleased,
BEIT-3,Microsoft,United States of America,2022-08-22,2022,"Multimodal,Vision,Language",7e+19,19.845098040014257,1900000000.0,,Yes,Abierto,Open weights (unrestricted),
Fusion in Encoder,Samsung,Korea (Republic of),2022-11-18,2022,Language,1.3e+20,20.113943352306837,330000000.0,$233.06,No,Cerrado,Unreleased,
Sparse all-MLP,Meta AI,United States of America,2022-04-14,2022,Language,5.32224e+20,20.72609445464332,9410000000.0,,No,Cerrado,Unreleased,
GPT-2 Medium (FlashAttention),"Stanford University,University at Buffalo","United States of America,United States of America",2022-05-27,2022,Language,8.9280922e+20,20.950758666555924,355000000.0,,Yes,Abierto,Open weights (unrestricted),
PolyCoder,Carnegie Mellon University (CMU),United States of America,2022-02-26,2022,Language,1.1e+21,21.041392685158225,2700000000.0,,Yes,Abierto,Open weights (unrestricted),
CodeT5-large,Salesforce,United States of America,2022-07-05,2022,Language,2.72e+21,21.434568904034197,770000000.0,$4478.15,Yes,Abierto,Open weights (unrestricted),
Gato,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-05-12,2022,"Multimodal,Robotics,Games,Language",4.02e+21,21.60422605308447,1180000000.0,$3523.06,No,Cerrado,Unreleased,
Hybrid H3-2.7B,"Stanford University,University at Buffalo","United States of America,United States of America",2022-12-28,2022,Language,6.48e+21,21.811575005870594,2700000000.0,,Yes,Abierto,Open weights (unrestricted),
RETRO-7B,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-02-07,2022,Language,1.68e+22,22.225309281725863,7500000000.0,,No,Cerrado,Unreleased,
NLLB,Meta AI,United States of America,2022-07-06,2022,Language,1.751113728e+22,22.243314352730454,54500000000.0,$50667.25,Yes,Abierto,Open weights (unrestricted),
Statement Curriculum Learning,OpenAI,United States of America,2022-03-02,2022,"Language,Mathematics",1.7901647999999995e+22,22.25289301334644,774000000.0,,No,Cerrado,API access,
Vega v2,"Wuhan University,JD Explore Academy,Shanghai AI Lab,Nanyang Technological University,Washington University in St Louis,Chongqing University of Posts and Telecommunications,University of Sydney","China,China,Singapore,United States of America,China,Australia",2022-12-04,2022,Language,7.76e+22,22.88986172125819,6000000000.0,,No,Cerrado,Unreleased,
GPT-NeoX-20B,EleutherAI,United States of America,2022-02-09,2022,Language,9.31627008e+22,22.96924207030419,20000000000.0,$184272.81,Yes,Abierto,Open weights (unrestricted),
UL2,"Google Research,Google Brain","United States of America,United States of America",2022-05-10,2022,Language,1.2e+23,23.079181246047625,20000000000.0,$126785.76,Yes,Abierto,Open weights (unrestricted),
PaLI,Google,United States of America,2022-09-14,2022,"Language,Vision,Multimodal",1.69e+23,23.227886704613674,16900000000.0,$50878.11,No,Cerrado,Unreleased,
AlexaTM 20B,Amazon,United States of America,2022-08-02,2022,Language,2.04374016e+23,23.310425679010848,19750000000.0,$267943.21,No,Cerrado,API access,
Flamingo,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-04-29,2022,"Multimodal,Vision,Language,Video",2.1897200000000104e+23,23.340388585055067,80000000000.0,$183423.16,No,Cerrado,Unreleased,
AlphaCode,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-02-02,2022,Language,2.38010000000001e+23,23.376595204340475,41100000000.0,,No,Cerrado,Unreleased,
ST-MoE,"Google,Google Brain,Google Research","United States of America,United States of America,United States of America",2022-02-17,2022,Language,2.9000000000000005e+23,23.462397997898957,269000000000.0,,No,Cerrado,Unreleased,
InstructGPT 175B,OpenAI,United States of America,2022-01-27,2022,Language,3.19181e+23,23.50403703104727,175000000000.0,,No,Cerrado,API access,
Galactica,Meta AI,United States of America,2022-11-16,2022,"Language,Biology",3.24e+23,23.510545010206613,120000000000.0,$591076.89,Yes,Abierto,Open weights (non-commercial),
GLM-130B,Tsinghua University,China,2022-08-04,2022,Language,3.5490054945e+23,23.550106671714225,130000000000.0,$820296.63,Yes,Abierto,Open weights (non-commercial),
LaMDA,Google,United States of America,2022-02-10,2022,Language,3.55e+23,23.550228353055093,137000000000.0,$229949.99,No,Cerrado,Unreleased,
BLOOM-176B,"Hugging Face,BigScience","United States of America,France",2022-07-11,2022,Language,3.65664e+23,23.563082205700514,176247271424.0,$995819.12,Yes,Abierto,Open weights (restricted use),
BlenderBot 3,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)","Canada,United States of America,Canada",2022-08-10,2022,Language,4.3e+23,23.633468455579585,175000000000.0,,Yes,Abierto,Open weights (non-commercial),
OPT-175B,Meta AI,United States of America,2022-05-02,2022,Language,4.3e+23,23.633468455579585,175000000000.0,$733634.64,Yes,Abierto,Open weights (non-commercial),
Chinchilla,DeepMind,United Kingdom of Great Britain and Northern Ireland,2022-03-29,2022,Language,5.76e+23,23.760422483423213,70000000000.0,,No,Cerrado,Unreleased,
PaLM (540B),Google Research,United States of America,2022-04-04,2022,Language,2.5272e+24,24.402639612897094,540350000000.0,$3060364.60,No,Cerrado,Unreleased,checked
U-PaLM (540B),Google,United States of America,2022-10-20,2022,Language,2.53e+24,24.40312052117582,540000000000.0,,No,Cerrado,Unreleased,checked
Flan-PaLM 540B,Google,United States of America,2022-10-20,2022,Language,2.540000000001e+24,24.40483371662011,540000000000.0,,No,Cerrado,Unreleased,checked
"GPT-3.5 (davinci-002)
",OpenAI,United States of America,2022-03-15,2022,Language,2.578e+24,24.411282913017384,,$4897551.63,No,Cerrado,API access,checked
Minerva (540B),Google,United States of America,2022-06-29,2022,Language,2.7415e+24,24.4379882502195,540350000000.0,,No,Cerrado,Unreleased,checked
RoFormer,Zhuiyi Technology,China,2023-11-08,2023,Language,2.162688e+18,18.334993870501588,110000000.0,,No,Cerrado,Unreleased,
CODEFUSION (Python),"Microsoft,Microsoft Research","United States of America,United States of America",2023-10-26,2023,Language,7.92e+18,18.898725181589494,75000000.0,$8.54,No,Cerrado,Unreleased,
ONE-PEACE,"Alibaba,Huazhong University of Science and Technology","China,China",2023-05-18,2023,"Multimodal,Vision,Speech,Language",1.8e+20,20.255272505103306,4000000000.0,,Yes,Abierto,Open weights (unrestricted),
InstructBLIP,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University","United States of America,Hong Kong,Singapore",2023-05-11,2023,"Multimodal,Language,Vision",1.94e+20,20.287801729930226,13000000000.0,,Yes,Abierto,Open weights (non-commercial),
BLIP-2 (Q-Former),Salesforce Research,United States of America,2023-01-30,2023,"Vision,Language",1.20000000001e+21,21.079181246051245,1480000000.0,$1960.82,Yes,Abierto,Open weights (unrestricted),
VILA-13B,"NVIDIA,Massachusetts Institute of Technology (MIT)","United States of America,United States of America",2023-12-12,2023,"Multimodal,Language,Vision",2.3003136e+21,21.361787047089525,13350839296.0,,Yes,Abierto,Open weights (non-commercial),
Incoder-6.7B,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago","United States of America,France,United States of America,United States of America,United States of America,United States of America",2023-04-09,2023,Language,3.00001e+21,21.477122702365524,6700000000.0,$3129.08,Yes,Abierto,Open weights (non-commercial),
SPHINX (Llama 2 13B),"Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University","China,Hong Kong,China",2023-11-13,2023,"Vision,Language,Multimodal",3.04e+22,22.482873583608754,19900000000.0,$239188.69,Yes,Abierto,Open weights (restricted use),
GQA-8-XXL,Google Research,United States of America,2023-12-23,2023,Language,3.4912896e+22,22.542985874728096,11000000000.0,,No,Cerrado,Unreleased,
Volcano 13B,"Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG","Korea (Republic of),Korea (Republic of),Korea (Republic of)",2023-11-13,2023,"Language,Multimodal,Vision",4.56e+22,22.658964842664435,13000000000.0,,Yes,Abierto,Open weights (non-commercial),
Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42","United States of America,United Arab Emirates,United Arab Emirates",2023-08-29,2023,Language,4.8946763e+22,22.689723975858826,13000000000.0,,Yes,Abierto,Open weights (unrestricted),
ChatGLM3-6B,Z.ai (Zhipu AI),China,2023-10-27,2023,"Multimodal,Language,Vision",5.04e+22,22.702430536445526,6000000000.0,,Yes,Abierto,Open weights (restricted use),
CogVLM-17B,"Tsinghua University,Z.ai (Zhipu AI),Beihang University","China,China,China",2023-11-06,2023,"Multimodal,Vision,Language",6.331000000000001e+22,22.801472313521472,17000000000.0,,Yes,Abierto,Open weights (restricted use),
CogAgent,"Tsinghua University,Z.ai (Zhipu AI)","China,China",2023-12-14,2023,"Vision,Language",6.707e+22,22.826528306340652,18000000000.0,,Yes,Abierto,Open weights (restricted use),
LLaVA,"University of Wisconsin Madison,Microsoft Research,Columbia University","United States of America,United States of America,United States of America",2023-04-17,2023,"Multimodal,Vision,Language",7.8049e+22,22.89236734305168,13000000000.0,$42.46,Yes,Abierto,Open weights (unrestricted),
LLaVA 1.5,"University of Wisconsin Madison,Microsoft Research","United States of America,United States of America",2023-11-05,2023,"Multimodal,Language,Vision",7.807e+22,22.892484179364686,13000000000.0,,Yes,Abierto,Open weights (restricted use),
Llama 2-7B,Meta AI,United States of America,2023-07-18,2023,Language,8.4e+22,22.924279286061882,7000000000.0,$114259.39,Yes,Abierto,Open weights (restricted use),
